"ID","Exporter","E-mail Address","Postal Address","Physical Address","Location","Registration Date","Renewal Date"
"ANA1984","Ana 1984 Limited","ana1984ltd@gmail.com","35 Karaka Street, New Lynn Auckland 0600","35 Karaka Street, New Lynn","Auckland 0600","6/01/2016","6/01/2022"
"AMNZ20","Ana Min New Zealand Limited","don@anaminnz.co.nz"," ","108 Cheviot Road","Lower Hutt","27/05/2020","27/05/2021"
"20100","Andrea Rika","anfe43@gmail.com"," ","23 Cemetery Road","Kaeo 0479","4/08/2020","4/08/2021"
"309HONEY","Andrew John Williams & Susan Claire Williams a partnership trading as 309 Honey Limited","honey309@xtra.co.nz","1644 The 309 Road RD1 Whitianga 3591","1644 The 309 Road, Kaimarama","Whitianga 3591","20/07/2015","3/05/2022"
"7268078","ANGELA NULIFE (NZ) LIMITED","155146157@qq.com"," ","59a Godden Crescent","Auckland","26/05/2020","26/05/2021"
"ABS1","Animal Breeding Services (2007) Limited","jacqui@abreeds.co.nz","105 Bellevue Road RD4 Hamilton 3284","105 Bellevue Road, RD4, Pukemoremore","Hamilton 3284","1/11/1999","1/05/2022"
"D0GTAINERS","Animal Transport Services Pty Limited","paul.rigby@dogtainers.com.au","36 Harvey Street North Eagle Farm QLD 4009 AUSTRALIA","610 Burt Rd Drury","Auckland 2578","7/08/2019","7/08/2021"
"ANTAPNZ123","ANTAP NZ LIMITED","docs@antap.com.au","PO Box 322, Shortland Street, Auckland 1140","PO Box 322, Shortland Street","Auckland 1140","24/07/2020","31/07/2021"
"ANTLERNZ1","Antler Farms NZ Limited","zoey.chang@tthealth.co.nz","5 Klondyke Drive Hornby South Christchurch 8042","5 Klondyke Drive, Hornby South","Christchurch 8042","1/12/2017","1/12/2021"
"ANZGLO1","ANZ Global Limited","anzgloballtd@gmail.com"," ","B407/525 East Coast Road, Pinehill","Auckland 0630","1/10/2020","1/10/2021"
"ANZCO1","ANZCO Foods Limited","leigh-anne.bredenhann@anzcofoods.com","PO Box 39145 Harewood Christchurch 8545","5 Robin Mann Place","Christchurch 8053","21/07/2014","1/05/2022"
"ANZCO2","ANZCO Foods Limited","gary.lindsay@anzcofoods.com","PO Box 39145 Harewood Christchurch 8545","5 Robin Mann Place","Christchurch","2/10/2019","2/10/2021"
"PACIFIC071","Aotea New Zealand Limited","pacificnz071@gmail.com"," ","A4/8 Henry Rose Place, Albany","Auckland 0632","24/05/2021","24/05/2022"
"APL1","Aotea Pacific Limited","info@aoteapacific.co.nz","PO Box 28426 Remuera Auckland 1050","Level 1, 360 Remuera Road, Remuera","Auckland","9/11/2000","9/11/2021"
"141A","Aotearoa Fisheries Limited","nitesh.asre@moana.co.nz","PO Box 445 Shortland Street Auckland 1140","1-3 Bell Avenue, Westfield","Auckland 1060","11/03/2014","1/05/2022"
"141B","Aotearoa Fisheries Limited","nitesh.asre@moana.co.nz","PO Box 445 Shortland Street Auckland 1140","1-3 Bell Avenue, Westfield","Auckland 1060","7/07/2003","1/05/2022"
"141","Aotearoa Fisheries Limited","nitesh.asre@moana.co.nz","PO Box 445 Shortland Street Auckland 1140","1-3 Bell Avenue, Westfield","Auckland 1060","1/11/1999","1/05/2022"
"AOTEAROA1","Aotearoa Manuka Honey Limited","service@aohoney.co.nz","6/2 Epsom Ave Epsom Auckland 1023 New Zealand","507 Waitoki Road","Wainui 0994","4/11/2020","4/11/2021"
"ATA1","Aotearoa Nutrients Limited","david.song@yashili.co.nz","31-35 Carbine Road Mt Wellington Auckland 1060","31-35 Carbine Road, Mt Wellington","Auckland 1060","24/03/2020","24/03/2022"
"AOZORA1","Aozora New Zealand Limited","abruford@aozora.co.nz","PO Box 9151 Newmarket Auckland 1149","18 Morgan Street, Newmarket","Auckland 1023","4/08/2015","20/10/2021"
"APICHECK1","Apicheck Limited","info@apicheck.nz","PO Box 553, Kerikeri, 0245","70 Montrose Road","Kerikeri 0293","22/05/2020","22/05/2022"
"BV1","Apihealth New Zealand Limited","info@apihealth.com","PO Box 58049 Botany Auckland 2163","52B Stonedon Drive, East Tamaki","Auckland","3/07/2003","3/07/2022"
"MOSSOP1","Apis Gold Limited trading as Mossop's Honey","wendy@mossops.co.nz","1064 State Highway 29 RD1 Tauranga 3171","1064 State Highway 29, RD1","Tauranga 3171","10/11/1999","1/05/2022"
"APOLLO1","Apollo Foods Limited","jo@theapplepress.co.nz","PO Box 7018 Taradale 4141","127 Te Ara Kahikatea, Whakatu","Hastings","15/07/2019","15/07/2022"
"ARABESQUE1","Arabesque Enterprises Limited","Shadyalfaiomi@hotmail.com"," ","131B Mountain road, Epsom","Auckland 1023","5/01/2021","5/01/2022"
"ARATAKI1","Arataki Honey Limited","russell@arataki-honey-rotorua.co.nz","2488 State Highway 5 RD3 Rotorua 3073","2488 State Highway 5, Waiotapu","Rotorua","29/10/1999","1/05/2022"
"ARATAKIHB4","Arataki Honey Limited","pam@aratakihoneyhb.co.nz","PO Box 8016 HAVELOCK NORTH 4157","66 Arataki Road","Havelock North","11/11/1999","1/05/2021"
"ANZ01","Arcadian New Zealand Limited","arcadian.nzl@gmail.com","PO Box 5360 Frankton Hamilton 3242","Unit F, 99 Colombo Street, Frankton","Hamilton 3242","10/10/2017","10/10/2021"
"ARCHER18","Archer Foods Limited","nick@archerfoods.nz","PO Box 8826 Havelock North 4175","33 Havelock Road","Havelock North","1/08/2018","1/08/2021"
"NOREX17","Arex International New Zealand (2017) Limited","campbell@northernfoods.co.nz","133 Sunnybrae Road Hillcrest Auckland 0627","133 Sunnybrae Road, Glenfield","Auckland 0627","16/07/2020","16/07/2021"
"PPSLTD01","Ariki New Zealand Limited","denis@arikinz.com","PO Box 254 Blenheim 7240","103 Middle Renwick Road, Springlands","Blenheim","19/04/2016","21/03/2022"
"VEE1","Arjcharaporn Pithaksa","maxsira@aol.com"," ","17 San Vito Place, Henderson","Auckland 0612","19/06/2020","19/06/2022"
"AROHALTD33","Aro Ha Limited","shop@aro-ha.com","440 Littles Road RD 11 Queenstown 9371","33 Station Valley Road","Glenorchy 9197","27/01/2021","27/01/2022"
"NZ167","Aroma (N.Z.) Limited","aroma@aromanz.com","PO Box 2683 Christchurch 8140","12 Senior Place, Bromley","Christchurch 8062","1/11/1999","1/05/2022"
"ARODIA01","Arotec Diagnostics Limited","matt.reynolds@arodia.com","P.O. Box 38586 Wellington Mail Centre WELLINGTON 5045","207 Gracefield Road, Seaview","Lower Hutt","23/10/2018","18/11/2021"
"ARROW1","Arrow Commodities (NZ) Limited","wynn-williams@arrowcom.nz","Level 3, 329 Durham Street North, Central City, Christchurch 8013, New Zealand","Level 3, 329 Durham Street North","Christchurch 8013","8/11/2017","8/11/2021"
"AB32EXP","Ashburton Meat Processors Limited","dave.graham@ab32.co.nz","PO Box 467 Ashburton 7740","170 Bridge Street, Newland","Ashburton","13/07/2018","13/07/2022"
"AHL1","Ashford Handicrafts Limited","accounts@ashford.co.nz","PO Box 474 ASHBURTON 7740","415 West Street","Ashburton 7700","27/03/2015","27/04/2022"
"ASEDGE1","Asia Edge Marketing Limited","bellis@knightsgroup.nz","PO Box 4516 Auckland 1140","Level 6, 43 High Street, Auckland Central","Auckland","15/04/2019","15/04/2021"
"AEL008","Asia Express Logistics and Trading Limited","terrycheungnzyc@hotmail.com","30B Vincent Street Howick Auckland 2014","30B Vincent Street, Howick","Auckland 2014","20/04/2012","20/04/2021"
"APIL1","Asia Pacific Industries Limited","apilsales01@gmail.com","PO Box 8302 Riccarton Christchurch 8440","9a Sir Gil Simpson Drive","Christchurch","11/02/2020","11/02/2022"
"ASIA2014","Asia Trade (NZ) Limited","tonyasiatrade@xtra.co.nz","575 Mahurangi East Road Algies Bay Warkworth 0920","575 Mahurangi East Road, Algies Bay, Warkworth","Auckland 0920","2/03/2015","28/03/2022"
"ASPAC1","Asian Pacific Bloodstock Transport Limited","aspacif@xtra.co.nz","P O Box 31 617 Milford AUCKLAND 0741","6 Omana Road, Milford","Auckland 0620","25/07/2014","25/07/2022"
"ASJ1","ASJ Commodities NZ Limited","jeff@asjmeat.co.nz"," ","1 Newton Watts Drive","Kerikeri 0294","11/11/2020","11/11/2021"
"ASTA1","AstaMAZ NZ Limited","shelly@astamaz.com"," ","1796b Great North Road, Avondale","Auckland 1026","7/08/2020","7/08/2021"
"ATIHAU1","Atihau Whanganui Incorporation","andrew@atihau.com","PO Box 240 Ohakune 4625","22 Ayr Street","Ohakune","9/08/2018","9/08/2021"
"ATMOR1","Atmor Sales & Marketing Limited","atmor@xtra.co.nz","P O Box 44 Beachlands Auckland 2147","Unit 7, 41 Smales Road, East Tamaki","Auckland 2013","8/11/2018","10/12/2021"
"BROOKBY2","Auckland Airport Pet Services Limited","graeme@brookbylodge.com","235 Brookby Road Manurewa Auckland 2576","235 Brookby Road, Manurewa","Auckland 2576","10/01/2019","1/02/2022"
"THL1","Auckland Aquarium Limited","andrew.christie@kellytarltons.co.nz","Kelly Tarltons Sealife Aquarium PO Box 42-021 Orakei Auckland 1745","Kelly Tarltons Sealife Aquarium, 23 Tamaki Drive, Orakei","Auckland","23/10/2018","23/11/2021"
"ABS1966","Auckland BioSciences Limited","daniel@aucklandbio.com","PO Box 33-165 Takapuna Auckland 0740","22A William Pickering Drive, Rosedale","Auckland 0632","27/11/2013","7/11/2021"
"AMPL1","Auckland Meat Processors Limited","patrickw@auckmeat.co.nz","P O Box 22-188 Otahuhu AUCKLAND 1640","851 Great South Road, Otahuhu","Auckland","14/07/2015","14/07/2022"
"WF001","Aulando NZ Limited","astrid@aulando.co.nz","PO Box 8525 Symonds Street Auckland 1150","116 Symonds Street, Grafton","Auckland","21/07/2015","21/07/2021"
"AUR1HEALTH","Aurihealth Limited","art@aurihealth.co.nz"," ","11/88 Gargan Road, Tauriko","Tauranga 3110","10/03/2020","10/03/2022"
"FEL315","Aurora Fisheries Limited","nelson@aurorafishing.com","P.O. Box 5041 Port Nelson Nelson 7043","4 Cross Quay, Port Nelson","Nelson 7010","1/11/1999","1/05/2022"
"KUDDUSA2","Auscom International Limited","kuddus.abdul18@gmail.com","PO Box 97484 Manukau City Auckland","35 Ransom Smyth Drive, Goodwood Heights","Auckland 2105","23/01/2020","23/01/2022"
"AUSFINE1","Ausfine Foods NZ Limited","kate@ausfine.com.au","C/- Clifford Jones 123b Dominion Road Mt Eden Auckland 1024","123B Dominion Road","Auckland 1024","7/07/2016","20/07/2022"
"AUSSIA168","Aussia New Zealand Company Limited","aussia@aussia.com.au","PO Box 93 Wahrronga Wahroonga 2076 Australia","1 Ihumata Rd, Milford","Auckland","20/07/2016","20/07/2021"
"GLOEXP15","Australasian Global Exports International PTY Ltd","jitesh.dahya@globalexp.com.au","Level 20 600 Bourke Street Melbourne Victoria 3000 Australia","18 Viaduct Harbour Avenue","Auckland 1140","29/09/2015","29/09/2021"
"AMENZ204","Australian Merino Exports (New Zealand) Limited","shipping@australianmerino.net.au","Suite 5, 204-218 Dryburgh St, North Melbourne Vic. 3051","1 Rimu Street, Riccarton","Christchurch 8041","12/10/2018","12/10/2021"
"AUSTREX1","Austrex (NZ) Limited","pault@austrex.co.nz","PO BOX 132 Level 8, 10 Eagle Street Brisbane Queensland 4000 Australia","30 Duke Street","Cambridge","9/06/2003","24/06/2022"
"AVATAR1","Avatar Honey NZ Limited","brendon@avatarhoney.com","886 Bidwills Cutting Road Greytown RD1 Wairarapa 5794","886 Bidwills Cutting Road, Greytown","Wairarapa","13/07/2015","13/07/2021"
